timestamp,world_price_usd_ounce
2009-08-01,949.375
2009-08-02,949.375
2009-08-03,949.375
2009-08-04,949.375
2009-08-05,949.375
2009-08-06,949.375
2009-08-07,949.375
2009-08-08,949.375
2009-08-09,949.375
2009-08-10,949.375
2009-08-11,949.375
2009-08-12,949.375
2009-08-13,949.375
2009-08-14,949.375
2009-08-15,949.375
2009-08-16,949.375
2009-08-17,949.375
2009-08-18,949.375
2009-08-19,949.375
2009-08-20,949.375
2009-08-21,949.375
2009-08-22,949.375
2009-08-23,949.375
2009-08-24,949.375
2009-08-25,949.375
2009-08-26,949.375
2009-08-27,949.375
2009-08-28,949.375
2009-08-29,949.375
2009-08-30,949.375
2009-08-31,949.375
2009-09-01,996.591
2009-09-02,996.591
2009-09-03,996.591
2009-09-04,996.591
2009-09-05,996.591
2009-09-06,996.591
2009-09-07,996.591
2009-09-08,996.591
2009-09-09,996.591
2009-09-10,996.591
2009-09-11,996.591
2009-09-12,996.591
2009-09-13,996.591
2009-09-14,996.591
2009-09-15,996.591
2009-09-16,996.591
2009-09-17,996.591
2009-09-18,996.591
2009-09-19,996.591
2009-09-20,996.591
2009-09-21,996.591
2009-09-22,996.591
2009-09-23,996.591
2009-09-24,996.591
2009-09-25,996.591
2009-09-26,996.591
2009-09-27,996.591
2009-09-28,996.591
2009-09-29,996.591
2009-09-30,996.591
2009-10-01,1043.159
2009-10-02,1043.159
2009-10-03,1043.159
2009-10-04,1043.159
2009-10-05,1043.159
2009-10-06,1043.159
2009-10-07,1043.159
2009-10-08,1043.159
2009-10-09,1043.159
2009-10-10,1043.159
2009-10-11,1043.159
2009-10-12,1043.159
2009-10-13,1043.159
2009-10-14,1043.159
2009-10-15,1043.159
2009-10-16,1043.159
2009-10-17,1043.159
2009-10-18,1043.159
2009-10-19,1043.159
2009-10-20,1043.159
2009-10-21,1043.159
2009-10-22,1043.159
2009-10-23,1043.159
2009-10-24,1043.159
2009-10-25,1043.159
2009-10-26,1043.159
2009-10-27,1043.159
2009-10-28,1043.159
2009-10-29,1043.159
2009-10-30,1043.159
2009-10-31,1043.159
2009-11-01,1127.036
2009-11-02,1127.036
2009-11-03,1127.036
2009-11-04,1127.036
2009-11-05,1127.036
2009-11-06,1127.036
2009-11-07,1127.036
2009-11-08,1127.036
2009-11-09,1127.036
2009-11-10,1127.036
2009-11-11,1127.036
2009-11-12,1127.036
2009-11-13,1127.036
2009-11-14,1127.036
2009-11-15,1127.036
2009-11-16,1127.036
2009-11-17,1127.036
2009-11-18,1127.036
2009-11-19,1127.036
2009-11-20,1127.036
2009-11-21,1127.036
2009-11-22,1127.036
2009-11-23,1127.036
2009-11-24,1127.036
2009-11-25,1127.036
2009-11-26,1127.036
2009-11-27,1127.036
2009-11-28,1127.036
2009-11-29,1127.036
2009-11-30,1127.036
2009-12-01,1134.724
2009-12-02,1134.724
