timestamp,usd_vnd_rate
2025-01-25,25060.0
2025-01-26,25060.0
2025-01-27,25060.0
2025-01-28,25060.0
2025-01-29,25060.0
2025-01-30,25060.0
2025-01-31,25060.0
2025-02-01,25060.0
2025-02-02,25060.0
2025-02-03,25060.0
2025-02-04,25280.0
2025-02-05,25280.0
2025-02-06,25145.0
2025-02-07,25260.0
2025-02-08,25260.0
2025-02-09,25260.0
2025-02-10,25290.0
2025-02-11,25380.0
2025-02-12,25530.0
2025-02-13,25550.0
2025-02-14,25440.0
2025-02-15,25440.0
2025-02-16,25440.0
2025-02-17,25370.0
2025-02-18,25470.0
2025-02-19,25500.0
2025-02-20,25515.0
2025-02-21,25500.0
2025-02-22,25500.0
2025-02-23,25500.0
2025-02-24,25510.0
2025-02-25,25468.0
2025-02-26,25520.0
2025-02-27,25535.0
2025-02-28,25520.0
2025-03-01,25520.0
2025-03-02,25520.0
2025-03-03,25530.0
2025-03-04,25575.0
2025-03-05,25540.0
2025-03-06,25490.0
2025-03-07,25485.0
2025-03-08,25485.0
2025-03-09,25485.0
2025-03-10,25480.0
2025-03-11,25525.0
2025-03-12,25450.0
2025-03-13,25445.0
2025-03-14,25490.0
2025-03-15,25490.0
2025-03-16,25490.0
2025-03-17,25500.0
2025-03-18,25510.0
2025-03-19,25510.0
2025-03-20,25535.0
2025-03-21,25545.0
2025-03-22,25545.0
2025-03-23,25545.0
2025-03-24,25585.0
2025-03-25,25620.0
2025-03-26,25600.0
2025-03-27,25555.0
2025-03-28,25560.0
2025-03-29,25560.0
2025-03-30,25560.0
2025-03-31,25550.0
2025-04-01,25565.0
2025-04-02,25620.0
2025-04-03,25600.0
2025-04-04,25600.0
2025-04-05,25600.0
2025-04-06,25600.0
2025-04-07,25770.0
2025-04-08,25780.0
2025-04-09,25995.0
2025-04-10,25960.0
2025-04-11,25720.0
2025-04-12,25720.0
2025-04-13,25720.0
2025-04-14,25715.0
2025-04-15,25824.0
2025-04-16,25790.0
2025-04-17,25830.0
2025-04-18,25830.0
2025-04-19,25830.0
2025-04-20,25830.0
2025-04-21,25830.0
2025-04-22,25871.0
2025-04-23,25932.0
2025-04-24,25965.0
2025-04-25,26026.0
2025-04-26,26026.0
2025-04-27,26026.0
2025-04-28,26019.0
2025-04-29,25970.0
2025-04-30,25980.0
2025-05-01,25980.0
2025-05-02,25980.0
2025-05-03,25980.0
2025-05-04,25980.0
2025-05-05,25980.0
2025-05-06,25942.0
2025-05-07,25948.0
2025-05-08,25953.0
2025-05-09,25959.0
2025-05-10,25959.0
2025-05-11,25959.0
2025-05-12,25952.0
2025-05-13,25960.0
2025-05-14,25951.0
2025-05-15,25924.0
2025-05-16,25920.0
2025-05-17,25920.0
2025-05-18,25920.0
2025-05-19,25917.0
2025-05-20,25932.0
2025-05-21,25950.0
2025-05-22,25950.0
2025-05-23,25973.0
2025-05-24,25973.0
2025-05-25,25973.0
2025-05-26,25946.0
2025-05-27,25897.0
2025-05-28,25903.0
2025-05-29,25950.0
2025-05-30,25996.0
2025-05-31,25996.0
2025-06-01,25996.0
2025-06-02,26019.0
2025-06-03,26022.0
2025-06-04,26038.0
2025-06-05,26071.0
2025-06-06,26056.0
2025-06-07,26056.0
2025-06-08,26056.0
2025-06-09,26047.0
2025-06-10,26025.0
2025-06-11,25990.0
2025-06-12,26010.0
2025-06-13,26020.0
2025-06-14,26020.0
2025-06-15,26020.0
2025-06-16,26050.0
2025-06-17,26030.0
2025-06-18,26072.0
2025-06-19,26092.0
2025-06-20,26123.0
2025-06-21,26123.0
2025-06-22,26123.0
2025-06-23,26119.0
2025-06-24,26190.0
2025-06-25,26150.0
2025-06-26,26150.0
2025-06-27,26100.0
2025-06-28,26100.0
2025-06-29,26100.0
2025-06-30,26090.0
2025-07-01,26118.0
2025-07-02,26110.0
2025-07-03,26150.0
2025-07-04,26175.0
2025-07-05,26175.0
2025-07-06,26175.0
2025-07-07,26158.0
2025-07-08,26120.0
2025-07-09,26110.0
2025-07-10,26138.0
2025-07-11,26100.0
2025-07-12,26100.0
2025-07-13,26100.0
2025-07-14,26108.0
2025-07-15,26100.0
2025-07-16,26120.0
2025-07-17,26140.0
2025-07-18,26135.0
2025-07-19,26135.0
2025-07-20,26135.0
2025-07-21,26140.0
2025-07-22,26130.0
2025-07-23,26120.0
2025-07-24,26120.0
2025-07-25,26110.0
2025-07-26,26110.0
2025-07-27,26110.0
2025-07-28,26120.0
2025-07-29,26165.0
2025-07-30,26195.0
2025-07-31,26200.0
2025-08-01,26197.0
2025-08-02,26197.0
2025-08-03,26197.0
2025-08-04,26190.0
2025-08-05,26174.0
2025-08-06,26225.0
2025-08-07,26200.0
2025-08-08,26190.0
2025-08-09,26190.0
2025-08-10,26190.0
2025-08-11,26200.0
2025-08-12,26231.0
2025-08-13,26245.0
2025-08-14,26265.0
2025-08-15,26230.0
2025-08-16,26230.0
2025-08-17,26230.0
2025-08-18,26240.0
2025-08-19,26275.0
2025-08-20,26290.0
2025-08-21,26370.0
2025-08-22,26405.0
2025-08-23,26405.0
2025-08-24,26405.0
2025-08-25,26300.0
2025-08-26,26300.0
2025-08-27,26340.0
2025-08-28,26374.0
2025-08-29,26360.0
2025-08-30,26360.0
2025-08-31,26360.0
2025-09-01,26340.0
2025-09-02,26340.0
2025-09-03,26340.0
2025-09-04,26365.0
2025-09-05,26360.0
2025-09-06,26360.0
2025-09-07,26360.0
2025-09-08,26375.0
2025-09-09,26385.0
2025-09-10,26360.0
2025-09-11,26370.0
2025-09-12,26375.0
2025-09-13,26375.0
2025-09-14,26375.0
2025-09-15,26355.0
2025-09-16,26355.0
2025-09-17,26381.0
2025-09-18,26340.0
2025-09-19,26355.0
2025-09-20,26355.0
2025-09-21,26355.0
2025-09-22,26355.0
2025-09-23,26395.0
2025-09-24,26395.0
2025-09-25,26395.0
2025-09-26,26380.0
2025-09-27,26380.0
2025-09-28,26380.0
2025-09-29,26385.0
2025-09-30,26414.0
2025-10-01,26425.0
2025-10-02,26405.0
2025-10-03,26393.0
2025-10-04,26393.0
2025-10-05,26393.0
2025-10-06,26375.0
2025-10-07,26340.0
2025-10-08,26340.0
2025-10-09,26335.0
2025-10-10,26346.0
2025-10-11,26346.0
2025-10-12,26346.0
2025-10-13,26310.0
2025-10-14,26325.0
2025-10-15,26343.0
2025-10-16,26315.0
2025-10-17,26310.0
2025-10-18,26310.0
2025-10-19,26310.0
2025-10-20,26337.0
2025-10-21,26330.0
2025-10-22,26333.0
2025-10-23,26345.0
2025-10-24,26312.0
2025-10-25,26312.0
2025-10-26,26312.0
2025-10-27,26280.0
2025-10-28,26280.0
2025-10-29,26308.0
2025-10-30,26335.0
2025-10-31,26315.0
2025-11-01,26315.0
2025-11-02,26315.0
2025-11-03,26310.0
2025-11-04,26309.0
2025-11-05,26295.0
2025-11-06,26300.0
2025-11-07,26285.0
2025-11-08,26285.0
2025-11-09,26285.0
2025-11-10,26280.0
2025-11-11,26270.0
2025-11-12,26280.0
2025-11-13,26280.0
2025-11-14,26320.0
2025-11-15,26320.0
2025-11-16,26320.0
2025-11-17,26325.0
2025-11-18,26335.0
2025-11-19,26378.0
2025-11-20,26376.0
2025-11-21,26366.0
2025-11-22,26366.0
2025-11-23,26366.0
2025-11-24,26349.0
2025-11-25,26350.0
2025-11-26,26343.0
2025-11-27,26350.0
2025-11-28,26372.0
2025-11-29,26372.0
2025-11-30,26372.0
2025-12-01,26330.0
2025-12-02,26340.0
2025-12-03,26340.0
2025-12-04,26345.0
2025-12-05,26340.0
2025-12-06,26340.0
2025-12-07,26340.0
2025-12-08,26320.0
2025-12-09,26320.0
2025-12-10,26340.0
2025-12-11,26355.0
2025-12-12,26300.0
2025-12-13,26300.0
2025-12-14,26300.0
2025-12-15,26303.0
2025-12-16,26290.0
2025-12-17,26310.0
2025-12-18,26300.0
2025-12-19,26285.0
2025-12-20,26285.0
2025-12-21,26285.0
2025-12-22,26265.0
2025-12-23,26300.0
2025-12-24,26326.0
2025-12-25,26326.0
2025-12-26,26277.0
2025-12-27,26277.0
2025-12-28,26277.0
2025-12-29,26255.0
2025-12-30,26245.0
2025-12-31,26225.0
2026-01-01,26225.0
2026-01-02,26295.0
2026-01-03,26295.0
2026-01-04,26295.0
2026-01-05,26295.0
2026-01-06,26269.0
2026-01-07,26274.0
2026-01-08,26271.0
2026-01-09,26230.0
2026-01-10,26230.0
2026-01-11,26230.0
2026-01-12,26225.0
2026-01-13,26270.0
2026-01-14,26250.0
2026-01-15,26230.0
2026-01-16,26230.0
2026-01-17,26230.0
2026-01-18,26230.0
2026-01-19,26235.0
2026-01-20,26225.0
2026-01-21,26264.0
2026-01-22,26225.0
2026-01-23,26267.0
2026-01-24,26267.0
2026-01-25,26267.0
